#Entity,Code,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity)
Albania,ALB,2020,0,0,100,0,0,0,0,0
Austria,AUT,2020,1.0312800317371342,15.024435372632027,61.70915843108419,1.8203391875747883,9.883352244258726,4.676644159968389,0,5.854790572744872
Belarus,BLR,2020,0,97.10726162151634,0.9587177025504028,0.5036802048113982,0.4953319141239165,0,0,0.9350085569979547
Belgium,BEL,2020,0.10625879725325825,30.32086049757409,0.31775605475237595,5.365003274897651,14.417162506474174,4.126541038961375,39.327172369267025,6.019245460820161
Bosnia and Herzegovina,BIH,2020,67.70987888741853,0,30.54985789090383,0.18886181408601116,1.484250540361312,0,0,0.06715086723058132
Bulgaria,BGR,2020,33.498245950226504,5.559440915311631,7.352585177413884,3.886456104790744,3.657519361161749,1.0980217553400322,41.253209725425926,3.694521010329719
Croatia,HRV,2020,9.741700069963258,25.85253417572536,43.82723001736539,0.6293059152017418,12.298244183843531,0.33524180657949515,0,7.315743831321922
Czechia,CZE,2020,39.74455612750247,7.21786554703294,2.4470334150203783,2.710957705320073,0.8542749161256571,3.719507692842915,37.227985817738315,6.077818778417242
Denmark,DNK,2020,14.609051782942844,3.6309850214860653,0.0511625581315818,4.259413714361358,56.33814717579821,3.551081887717797,0,17.56015785956215
Estonia,EST,2020,0,0.8243263291393342,0.01105135531950048,0.6224436443391768,13.912648857366403,63.96495180733797,0,20.664578006497756
Finland,FIN,2020,5.104344481881206,5.6655189222184275,22.518224419597423,0.13375139288543084,11.365760266384875,4.863455439308778,34.43037981458014,15.918565263143721
France,FRA,2020,0.808967346766344,6.479621662208753,11.743336150672327,2.4956980380870073,7.4231005072740315,2.180909727499693,67.20585243907493,1.6625141284170901
Germany,DEU,2020,23.655913978494624,16.146659615723603,3.2963158822492513,8.989952406134321,23.708796051471886,3.9661554732945534,11.33439097479288,8.901815617838887
Greece,GRC,2020,15.289731565609344,36.74562832014931,7.835013878097212,9.008190222163686,18.41525149979263,12.056387528089813,0,0.6497969860981764
Hungary,HUN,2020,10.627797417345725,26.169023122174483,0.8014233945746794,4.789975558022308,1.9403043118929648,1.0322420262329812,47.519043926778195,7.120190242978882
Italy,ITA,2020,5.435050016728122,45.62895658516034,17.461924301013664,9.66256539409391,6.879950160622264,5.769064559084343,0,9.162488983297669
Latvia,LVA,2020,0.005883890518518435,38.88119105610672,44.339660971436054,0.021837296297591575,2.8616248187253146,0,0,13.889801966915801
Lithuania,LTU,2020,0,38.13647209396234,5.972809501521814,2.0162272254966687,36.082030274440115,4.325516459363083,0,13.466944445216185
Luxembourg,LUX,2020,0,20.405921835698027,9.695349622178364,12.511325244296112,26.603220915152914,8.065559448780645,0,22.718622933893933
Malta,MLT,2020,0,88.95605714574035,0,9.662035675569385,0.002956060203733723,0.9226985160068158,0,0.4562526024797291
Moldova,MDA,2020,82.25213433128866,10.771112829097316,5.544154720596864,0.0558155111305432,0.8000223262044536,0.0,0.0,0.5767602816822806
Montenegro,MNE,2020,0.484848,0,0.424242,0,0.090909,0,0,0
Netherlands,NLD,2020,7.182626142566916,59.821351436032934,0.0595989113500375,6.357794330250248,12.521211304630938,4.507320465062965,3.274934525652297,6.2751628844544465
North Macedonia,MKD,2020,0.52,0.22,0.24,0,0.02,0,0,0
Norway,NOR,2020,0,1.1538277348203598,91.82385494928084,0.009051644909503463,6.490096263562224,0.05924404168736161,0,0.46392536573927906
Poland,POL,2020,69.82910550826843,10.430925012563304,1.2844267705400396,1.3212411162590567,9.965954456838872,2.828367845910658,0,4.33997928961963
Portugal,PRT,2020,5.885800078173467,33.297987611703604,24.246076958370807,2.785925930874209,23.68893123571179,1.9905475701507844,0,8.104730615015498
Romania,ROU,2020,16.671549571008846,17.765578673329582,27.336163537109698,3.1430317440538653,12.38950331122582,1.254290345357706,20.433820416761524,1.0060624011531245
Russia,RUS,2020,15.117214570611399,43.11058123243137,20.436950946003115,0.16333084400587158,0.13096740884164992,0.9328669959740221,19.744300480924178,0.3637875212083005
Serbia,SRB,2020,69.99183746374904,0,27.112389006523465,0.039409424255241486,2.387085126317484,0,0,0.46927897915478944
Slovakia,SVK,2020,6.90775516375268,13.154505688818757,16.607634746386246,2.112323032477704,0.0347942892055466,0,53.953454551613376,7.229532527746
Slovenia,SVN,2020,25.806302776843847,3.5216361604612105,29.86896785272826,1.7061591844334114,0.03674234413372414,0.07447645067672175,37.30551377960277,1.680201451120585
Spain,ESP,2020,2.3872260766723383,26.012231282998123,12.097278260980854,7.869756817707595,20.909975350232244,6.029946498013508,22.108170569845797,2.5854151435497967
Sweden,SWE,2020,0.2013031123877426,0.23134835304262952,44.559312009743344,0.24456825893077977,16.394814319489345,1.7648574360680593,30.1807180491256,6.423078461212511
Switzerland,CHE,2020,0,0,54.29628063393669,5.786213426360433,0.2424706502802269,0.9632372420209016,33.90493142118318,4.806866626218474
Turkey,TUR,2020,33.855296842975,22.834878749040616,26.43125710664105,3.665401981701814,8.323239326956216,0.1979854264469679,0,4.691940566238263
Ukraine,UKR,2020,28.277375016640143,7.948391307279958,5.327778701687002,0.7475836810752285,3.6927262976814847,1.4524212389975963,52.3402354308806,0.21348832575795604
United Kingdom,GBR,2020,1.7411054746689574,36.55035212071639,2.159324113910828,4.371458848187452,24.150983695881052,2.45012241838618,16.96283039802891,11.613822930220525
