#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
-298,-1070,232,-138,796,-43.2,1730,595,5840,-782,648,-2240,-2630,3750,-1940,-1050,-1330,-970,192,-4300,-916,-482,-294,0,-175,-226,-99.9,-605,2580,-462,332,268,171,979,2490,281,-1010,171,0
-476,-1130,313,99.8,865,21.2,1790,716,4930,-1180,445,-1790,-2440,3300,-2790,-1010,-1300,-928,245,-3940,-931,-494,-168,0,-158,-140,-105,-101,3280,-18.2,189,314,286,614,2180,-41.3,-530,97.6,0
-553,-790,231,202,921,-158,1740,390,2250,-1240,513,-2100,-2340,6300,-2830,-923,-1260,-865,365,-4730,-1020,-478,-250,0,-140,-156,-114,161,2580,-328,329,302,2.25,774,3270,178,-433,207,0
-572,-630,282,1020,918,-133,1480,156,2260,-1340,79.9,-2910,-2050,6180,-2600,-704,-1270,-871,253,-5140,-953,-476,-269,0,-176,-220,-122,-253,2760,-267,1050,38.7,131,704,3750,168,-464,194,0
-572,486,217,1190,1040,-156,1400,260,2860,-1570,-11.6,-3580,-2040,6360,-2450,-925,-1170,-899,74.9,-4740,-1010,-440,-243,0,-192,-194,-101,-746,2140,-358,1250,195,-91.9,824,3280,261,-454,123,0
-608,-64.5,326,899,991,-148,1980,662,3860,-1030,143,-2830,-2410,5330,-2500,-337,-1320,-1210,68.6,-4920,-1010,-439,-273,0,-173,-122,-70.0,-1530,2150,-450,1030,117,-67.1,1040,3050,328,-729,268,0
-650,509,207,-145,1030,-172,2040,743,2620,-1740,192,-2640,-2780,6630,-2760,-629,-1190,-1110,189,-2580,-1090,-429,-292,0,-191,-144,-153,-1530,2510,-752,659,-130,4.23,1140,2720,259,-466,126,0
-700,496,103,419,1040,-57.6,809,1040,4630,-1450,241,-4060,-2490,6120,-2480,-692,-1100,-1210,54.3,-2080,-1130,-428,-386,0,-227,-125,-70.5,-2240,2720,-650,1300,376,21.6,1060,1510,104,-424,-37.8,0
-676,305,178,-36.9,1080,128,543,1980,5650,-1380,565,-3430,-2630,4920,-2600,-480,-1120,-1170,200,-3310,-927,-476,-192,0,-198,-142,-72.6,-2110,2980,-212,1120,-73.4,175,939,737,90.6,-453,110,0
-669,-258,235,19.9,970,70.1,535,2240,4830,-1640,346,-3520,-2310,5980,-2710,-533,-1130,-1040,162,-4250,-1050,-481,30.7,0,-158,-163,-40,-1400,3470,-160,808,139,219,1130,413,80.1,-385,205,0
-638,652,286,214,993,36.7,179,1640,5380,-1340,178,-3060,-2260,6800,-2790,-884,-1120,-1120,217,-4530,-985,-462,-81.0,0,-132,-197,833,-1400,2760,-221,667,52.4,275,1160,301,74.5,-652,6.46,0
-613,458,218,-24.4,812,-111,240,1640,6240,-939,107,-2840,-2490,4850,-1910,-922,-741,-1090,181,-4600,-992,-457,-45.6,0,-112,-173,9.07,-1740,2260,-394,739,158,52.8,1160,1470,393,-642,-148,0
-606,614,169,-820,545,95.1,-1430,2480,5180,-1750,385,-1770,-1720,4700,-1390,-897,-674,-1550,142,-4680,-1010,-513,33.8,0,-130,-149,1.63,-1350,3070,-699,-207,6.26,622,1220,1330,479,-173,12.1,427
-544,-752,1.91,-1380,455,-163,-1520,2560,5830,-897,287,-2150,-2440,5510,-2160,-957,-510,-1220,273,-4760,-1050,-516,-124,-112,-136,-260,28.8,-606,2880,-442,-133,791,514,1440,1460,210,-68.1,95.5,564
-378,-623,-246,-814,415,-90.9,-1590,1320,9370,-342,76.0,-968,-1860,4220,-1630,-713,-751,-1330,33.7,-4870,-943,-477,-97.0,-96.7,-108,-277,33.1,-209,1810,-546,-678,157,281,969,740,83.0,-363,134,376
-365,-623,-99.2,-1080,361,32.5,-1720,2330,8340,-544,322,-791,-1700,2620,-971,-236,-879,-1280,172,-4890,-949,-466,-8.38,-93.3,-81.2,-183,43,-30.2,1910,-22.6,-660,-106,-149,937,790,-20.6,-632,359,373
-359,-1510,198,-777,452,211,-1940,2410,8210,-706,379,-1090,-2520,2470,-998,-150,-945,-1250,89.7,-4490,-1050,-471,-18.8,-68.6,-66.9,-153,-13.1,19.6,2790,-823,-250,-184,-15.9,770,1900,-46.2,-740,341,407
-359,-592,92.5,-740,376,228,-2030,1490,7980,-216,422,-1040,-2940,2310,-606,-43.4,-789,-1170,-95.0,-4040,-1010,-485,80.0,-79.9,-85.8,-149,-111,340,935,-539,-501,284,-66.1,627,2470,1.88,-605,176,491
-569,-889,120,-1040,708,223,-2300,1940,8330,-884,262,-1260,-2400,826,-1280,-350,-833,-1430,29.2,-3560,-987,-475,66.2,-73.1,-82.6,-207,-115,718,1420,-138,139,321,-404,679,3140,-180,-34.8,260,308
-650,-879,292,-1800,738,85.8,-1530,2010,6790,-420,115,891,-1850,-2590,-77.4,-324,-540,-1240,89.6,-3280,-1070,-517,101,-63.8,-85.3,-214,-108,569,1530,-171,627,-124,-524,952,2740,91.0,-236,308,357
-643,-720,185,-1520,755,141,-1510,2220,7420,-220,468,947,-2360,-3500,652,-419,-479,-1390,62.8,-2950,-1050,-516,116,-71.4,84.0,-228,-120,382,689,-389,-64.0,302,-560,970,2700,117,-230,237,494
-628,-1430,168,-544,667,29.1,-2650,1970,9520,-290,325,-881,-2020,482,-393,-454,-712,-1380,82.7,-3800,-1050,-488,98.2,-72.4,-75.7,-176,-136,601,1610,-545,-103,344,-574,1070,1130,-41.1,-399,258,485
