#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
-424,-1370,380,-2610,1370,276,-1150,1840,5620,-1100,503,-336,-2220,6890,-2150,-554,-811,-1310,2.36,-4850,-1240,-489,-209,-117,-218,-242,-37.6,-621,2710,-1110,125,-132,-367,1580,1330,584,-368,16.9,803
-453,-1930,321,-2050,1300,145,-1800,1920,7990,-981,140,-653,-1710,3210,-2170,-469,-711,-1680,221,-4300,-1260,-499,-183,-126,-211,-227,-18.5,-459,2100,-520,365,111,-437,1540,2710,242,-464,137,861
-335,-2070,602,-2020,1230,123,-720,2070,7200,-483,152,541,-1760,-2770,-627,-283,-762,-1690,63.9,-2120,-1350,-528,-168,-109,23.3,-239,-29.4,168,2030,-402,1000,93.7,-709,1590,1760,46.4,-630,205,896
-325,-1520,661,-1860,1120,109,-2220,1400,7570,-126,-43.7,-51.8,-1830,3810,-1850,-432,-509,-1990,128,-3370,-1310,-513,-146,-92.4,121,-231,-25.4,12.1,642,-423,-110,247,-1000,1710,1800,268,-738,246,874
-358,-798,513,-2700,773,54.1,-1830,1280,7430,148,-168,-1140,-2280,10600,-2460,-512,-584,-1790,-74.4,-5390,-1250,-482,-335,-106,79.0,-302,-98.5,-116,-788,-140,-350,-380,-1300,1720,2650,-68.0,-691,385,907
-479,-1090,654,-2650,775,244,-15.5,1520,7970,-72.7,7.59,283,-2550,2630,-1750,-532,-742,-1560,42.6,-5160,-1320,-523,-116,-106,91.6,-330,-42.9,-224,2140,-471,328,-389,-795,1880,1770,-46.6,-573,406,791
-516,-1430,556,-2290,803,222,-1680,2050,7550,-439,-106,-1830,-2590,9230,-2570,-562,-902,-1420,34.6,-5380,-1380,-474,-121,-117,48.2,-330,-29.1,48.0,1080,-556,507,-374,-654,1940,1540,-408,-530,400,692
-325,112,-36.7,-3360,1120,52.9,-870,2690,7410,546,-277,-2170,-1770,5270,-2410,-918,-791,-968,-236,-4050,-1130,-411,-286,-97.5,-80.4,-422,-46.7,-260,-2150,704,-130,277,-924,1660,3300,-150,296,227,620
-535,-598,-64.0,-1580,669,61.3,-1430,2240,9300,158,-90.8,-1620,-2860,2510,-2290,-645,-711,-1060,-336,-3500,-1010,-441,-255,-90.7,-91.6,-269,-93.6,710,-946,168,-128,32.6,-857,2220,2830,-160,-97.3,180,682
-578,-982,467,-805,387,96.6,-1160,1580,10300,650,140,-381,-2750,1900,-1910,-335,-761,-1420,-120,-4010,-1310,-489,-246,-97.5,-47.8,-259,-59.8,770,-1340,-316,-300,-328,-1000,1800,2480,85.7,-423,161,568
-591,-262,187,-956,593,136,-847,1590,9780,406,225,-1030,-3040,1330,-2210,-258,-782,-1240,-93.3,-3730,-1190,-504,-199,-104,17.2,-295,-46.8,1320,-197,-72.8,-105,-619,-870,1740,1530,-222,-287,136,755
-401,-1030,27.3,-1040,676,460,8.47,1170,7110,-142,376,1040,-3060,662,-1270,-321,-729,-1340,108,-3220,-1370,-555,5.68,-117,30.2,-315,-57.2,877,2120,-437,-222,-611,-470,1650,114,-351,-381,144,855
-271,-891,299,-1250,912,363,-1150,1920,9200,40.9,333,1550,-2930,2770,-3020,-754,-443,-1510,-97.6,-5630,-1250,-532,-5.62,-109,24.9,-280,-55.9,1040,659,-631,-502,-313,-277,1750,402,-68.6,-333,144,899
5.01,-1630,540,-452,917,244,-1860,1180,9800,749,26.3,-796,-2960,6450,-3460,-1100,-312,-2080,139,-5190,-1080,-483,-134,-93.8,125,-268,-69.4,1060,-835,-596,-1610,-87.1,-224,1890,1250,174,-354,271,847
-74.3,-1080,399,-575,893,301,-1330,2310,8440,-42.4,-259,-1690,-2260,6710,-3630,-1240,-515,-2250,91.5,-5870,-982,-510,-274,-114,76.8,-301,-130,804,-1260,-1070,-909,27.6,4.59,1810,3520,-16.0,-223,269,960
-318,-1090,541,-1510,970,375,-1200,2030,7260,-362,-234,-1900,-2220,9680,-3960,-1240,-921,-2050,253,-6070,-1050,-494,-226,-103,39.4,-337,-92.6,622,-839,-1110,-981,8.14,130,1790,3520,28.0,-90.6,187,947
-455,-209,472,-1160,944,192,-1160,1880,4580,-778,-241,-2180,-2020,11900,-3680,-1350,-877,-2030,-38.5,-5870,-1040,-482,-238,-93.6,38.1,-283,-70.8,592,-1210,-1180,-718,267,83.8,1910,3960,-84.5,-186,175,663
-479,-687,539,-515,904,145,-2080,1110,9300,762,-176,-2030,-2610,8650,-3710,-1390,-814,-1860,152,-5240,-996,-440,-68.2,-101,34.5,-282,-38.7,105,-2490,-1030,-443,228,780,2120,2330,-100,-246,-35.1,687
-382,-453,443,-49.6,717,99.3,-1750,400,9570,477,-179,-1440,-2510,8500,-3870,-1390,-983,-1930,319,-4960,-987,-450,130,-102,7.08,-319,-84.0,74.3,-2990,-1040,-1130,79.1,839,1930,2650,-163,152,-78.1,845
-357,-281,393,-470,772,235,-379,1470,5580,34.1,-116,-1690,-1960,7230,-3600,-1210,-876,-1810,6.10,-4950,-980,-501,60.3,-95.1,-12.9,-229,-71.8,723,-2040,-1450,-1220,211,1200,1800,3580,-138,218,-23.4,963
-483,-507,129,-409,846,216,-713,1710,3480,165,-196,-977,-2220,10500,-3390,-1400,-790,-1810,-282,-5400,-998,-473,140,-92.1,-8.59,-317,-128,275,-1990,-1480,-1500,-367,1390,1700,4160,-120,168,145,970
-401,528,198,-116,742,179,814,1630,5560,-589,-151,-2110,-1960,3640,-2680,-1430,-734,-1670,105,-4340,-881,-490,-34.2,-49.6,-274,-280,-121,67.2,-868,-1340,293,-156,775,1660,3570,-27.7,-62.6,185,810
-408,672,247,-234,681,276,-249,1610,6930,-831,-137,-1830,-1810,4300,-2260,-1250,-681,-1260,-20.4,-4310,-1100,-476,-15.5,-58.6,-204,-284,-46.5,219,-482,-1320,72.9,-330,-31.6,1690,2390,50.0,-475,313,642
-458,-678,29.0,153,789,291,-200,1390,6900,-861,-79.2,-588,-2130,7060,-2060,-1200,-752,-1290,30.2,-4150,-1070,-445,-108,-63.7,-264,-307,-35.1,-1150,-983,-1120,-1300,192,-171,1360,2660,23.5,-337,273,640
-341,922,49.7,94.1,836,37.0,382,804,1630,-867,-103,-927,-1650,7620,-2300,-1340,-769,-1370,119,-1590,-941,-440,-313,-63.3,-272,-258,-36.1,-1990,-1120,-1060,-795,330,-51.8,1290,3900,97.9,-370,215,656
-421,442,52.4,-289,561,139,-79.7,1120,1620,89.2,-201,-519,-2050,8040,-3100,-1370,-769,-1410,14.6,-2240,-942,-455,-284,-53.4,-190,-195,-7.19,-1090,-1150,-599,-1440,554,7.74,1720,3110,258,30.7,373,706
-97.1,152,309,-603,279,216,226,1980,1680,-200,-104,-517,-1810,8890,-2940,-1490,-530,-1590,14.1,-4210,-1060,-454,-341,-48.9,-176,-218,-21.5,-519,-903,-1090,-802,207,-34.5,1890,2580,219,9.13,382,740
-19.4,-164,318,-76.2,184,73.9,-670,1570,164,-1360,-247,-979,-1950,11000,-3170,-1110,-469,-1840,57.6,-4350,-992,-458,-168,-54.9,-151,-223,-57.6,674,-115,-1200,21.9,17.3,-115,1750,2740,160,35.2,339,859
-110,293,585,-299,251,157,787,1590,-1340,-1110,-311,-1610,-2160,11100,-3040,-1550,-526,-2160,-166,-4830,-1080,-476,-27.2,-55.2,-245,-224,-30.5,689,780,-1460,-18.7,548,17.8,1290,3160,225,88.4,362,878
-17.9,698,682,672,187,236,855,1100,-1750,-714,-383,-963,-1150,10100,-2990,-1200,-288,-2300,247,-5030,-1100,-459,-248,-62.1,-64.9,-158,-54.4,-189,-1050,-1540,-607,417,-221,1110,4680,454,74.7,208,851
-35.4,774,547,127,149,56.9,407,1010,-498,-1190,-273,-38.1,-1920,9270,-2490,-1250,-668,-2010,21.9,-4990,-1120,-469,-132,-65,-42.4,-60.2,-11.9,-863,56.1,-1240,-952,324,2.68,1090,5230,398,-24.9,319,562
-251,899,383,-412,592,-15.6,988,1020,-2050,-1660,-480,-938,-1760,11500,-3000,-950,-1100,-2100,172,-4790,-1180,-464,-151,-70.6,-41.6,-32.3,-54.4,-1450,876,-1180,-72.5,715,131,1310,5040,252,-268,92.1,473
-310,664,461,-567,499,-128,1300,750,-1070,-2210,-443,-528,-999,10800,-2560,-1370,-959,-1390,74.9,-4370,-1180,-487,-183,-65.1,-104,-128,-83.2,-1490,351,-1440,-489,455,233,1060,5570,225,-198,-62.8,422
-345,834,522,-292,533,-79.1,2840,454,-356,-1300,-406,-1210,-1640,8710,-2380,-1230,-941,-1480,92.0,-4830,-1040,-510,-272,-45.3,-90.7,-115,-105,-1360,648,-1580,-81.4,727,-94.1,1300,4870,258,-419,-103,521
-220,65.1,500,-296,784,-128,3340,529,757,143,-398,-1090,-1790,7530,-2480,-1330,-1210,-1560,-175,-4680,-909,-485,-312,-59.8,-84.5,-32.9,-103,-1310,637,-1280,222,253,-115,851,4190,137,-419,44.9,472
-258,2.32,712,324,723,-44.5,4280,217,-823,-1810,-438,-1140,-1800,8720,-3140,-1550,-1050,-926,-165,-4570,-1090,-469,-280,-63.0,-245,11.7,-141,-708,1850,-1330,-136,-186,-153,931,4560,247,-454,-25.6,416
-266,-607,812,781,735,121,3180,143,841,-1640,-397,-878,-1860,7710,-2780,-1250,-1100,-807,-14.5,-4920,-1130,-464,-250,-65.8,-248,-26.2,-110,-78.0,1690,-1350,-341,-558,-159,659,4410,67.5,-189,19.9,322
-236,-1030,652,1080,813,325,3590,552,2140,-1220,-359,-292,-2000,4790,-1130,-1250,-1230,-1030,96.7,-5230,-1090,-489,-207,-68.7,-217,-88.9,-93.6,-83.2,1460,-1180,-408,-383,-263,910,2870,193,-154,52.4,209
-254,-177,867,2340,910,381,2960,718,-2070,-2240,-375,-528,-2070,9050,-2460,-1330,-1080,-1180,-226,-4510,-1130,-449,-209,-63.3,-326,-38.3,-80.4,-156,2590,-1610,-648,-616,-165,1310,2070,338,148,-45.8,363
-215,-527,869,2350,999,183,1580,532,702,-1210,-301,-790,-2600,7840,-2350,-1190,-1040,-1280,-77.4,-3340,-1140,-430,-84.7,-64.2,-392,-42.3,-82.2,-514,1670,-1130,-502,-631,-271,1670,1270,275,-37.1,18.9,266
-283,-474,751,1750,790,270,2790,1420,-1790,-1360,-240,-327,-2520,8910,-2290,-1060,-1040,-1140,-23.4,-2410,-1100,-399,-298,-66.0,-417,-16.6,-110,-955,852,-1030,-1190,-635,-182,1680,1860,78.7,-55.8,-43.3,315
-277,-517,710,1370,931,318,4200,1660,-1450,-1570,-316,-154,-2850,7490,-2890,-1180,-1080,-1350,9.18,-2820,-1170,-447,28.2,-70.8,-253,88.1,-86.0,-488,1580,-1090,-1320,-701,-175,1580,2430,-295,-221,24.1,361
-256,-747,623,731,823,282,3090,1680,-233,-1980,-285,-663,-2700,5650,-917,-561,-1330,-1780,-60.6,-2570,-1170,-483,105,-68.4,-58.8,-41.0,-116,-666,2640,-1060,-510,-806,35.3,1470,1970,-295,-203,203,269
-436,-393,672,1540,898,372,1210,1770,-125,-1150,-120,-565,-2770,7680,-1910,-914,-1040,-1600,-30.2,-3190,-1040,-459,54.6,-58.7,-137,-30.5,-98.2,264,2460,-1640,-1200,-650,-205,1190,1830,-221,-224,34.7,224
-419,-373,838,1250,672,369,391,1600,782,-517,-168,76.1,-2650,7250,-2460,-1070,-812,-1480,-1.98,-3040,-950,-476,-15.3,-67.4,-316,-48.0,-89.8,-1000,2150,-1400,-976,-564,-293,1210,2500,-86.5,-74.9,31.4,220
-417,-1100,587,1680,628,298,-105,1690,3350,-795,-392,-415,-2730,6600,-1940,-1030,-970,-1060,-195,-4560,-1080,-488,-154,-61.1,-242,-79.0,-91.2,-298,2490,-1220,-485,-1050,-35.3,1450,2160,36.0,-399,132,305
-384,-1530,337,2520,487,402,100.0,1920,2780,-1280,-310,16.4,-2610,6350,-1560,-856,-1050,-921,137,-4920,-1130,-460,64.2,-50.8,-101,-51.1,-99.0,-53.6,1780,-993,-640,-597,-216,1480,1740,-28.4,-747,174,296
-380,-781,202,1300,494,533,-1180,2170,5300,-946,-431,-906,-2180,6850,-1790,-769,-690,-811,155,-4830,-1180,-464,-195,-61.7,-126,-286,-130,5.23,506,-1800,-614,-306,-278,1460,2770,-389,-642,229,173
-378,-1150,327,643,491,546,-855,1750,7760,-479,-375,-1110,-2550,6500,-1720,-664,-606,-895,135,-5270,-1050,-457,-103,-64.9,-129,-249,-38.2,-364,323,-1090,-458,-414,-217,1750,1480,-573,-556,122,-3.90
-374,-1280,575,417,403,449,128,2410,5100,-1150,-347,142,-2510,7150,-2530,-773,-785,-801,-14.2,-5450,-1080,-480,-85.6,-64.3,-216,-252,1.94,947,351,-1750,-829,-752,-25.4,1690,2190,-577,-176,212,128
-373,-1360,343,144,580,598,1940,2380,5010,-841,-432,-829,-2220,4620,-1710,-945,-837,-765,-51.6,-4930,-1060,-461,-213,-75.4,-251,-217,-110,905,-1260,-1480,-567,-927,-57.5,1550,4470,-626,-147,179,19.0
-403,-1460,165,439,826,572,363,2320,4750,-1270,-453,-436,-2390,5180,-1960,-1040,-627,-1050,168,-4200,-1150,-425,-212,-57.8,-225,-242,-85.5,949,-907,-1300,-243,-614,-293,1970,3750,-222,-246,23.2,32.5
-130,-664,708,81.1,902,542,177,2340,3290,-1130,-308,1340,-3060,3810,-3060,-893,-89.5,-1380,66.0,-4740,-1160,-493,-163,-58.5,-104,-318,-83.3,1300,709,-1840,205,-377,83.3,2350,2040,507,-81.2,-84.7,-223
-85.2,-728,1210,407,796,203,-338,1610,8430,-159,-325,30.6,-2590,-968,-2610,-1270,269,-1270,147,-4500,-1140,-504,75.2,-58.2,-117,-295,-125,686,-481,-1430,481,-321,154,2050,2280,425,73.7,-110,97.3
-176,-30.2,950,472,795,273,481,1780,5670,-450,-385,299,-2510,-2650,-1970,-1170,177,-1320,85.6,-3810,-1100,-506,81.9,-59.9,91.3,-337,-33.6,888,-322,-1540,261,161,22.2,1910,3520,474,-59.2,-125,166
-200,-1370,1090,440,729,484,-1480,1610,6360,-897,-307,-463,-2140,4450,-3430,-1360,-80.5,-1370,-142,-4760,-1240,-483,-84.0,-62.0,1.43,-331,-43.7,214,193,-1360,884,-31.0,67.8,1760,3070,429,-212,-176,244
147,-1560,1100,165,420,523,54.1,1680,8240,546,-418,-851,-1810,-639,-1020,-1500,-242,-1740,160,-3850,-1130,-515,-237,-64.3,-87.9,-326,-22.2,-42.4,-1370,-797,806,-452,-431,1340,3550,383,-441,22.7,399
-13.9,-2360,1050,648,387,560,-204,1790,7550,576,-497,484,-1690,3910,-2660,-1500,-328,-1680,79.3,-5660,-1100,-481,-181,-60.1,-91.4,-350,-64.6,563,-1190,-1120,142,-170,-373,1400,2650,134,-462,-1.26,308
32.4,-2050,1330,296,432,359,-764,1680,5900,-130,-452,-873,-2280,7950,-3420,-1630,14.1,-1240,-80.6,-5810,-1140,-433,-50.1,-61.2,-225,-404,-102,-442,-1500,-1400,2340,-663,-240,1600,3180,177,-187,-136,439
89.4,63.4,1150,-228,486,263,-1210,1250,1610,-414,-519,-522,-1700,9480,-3500,-1630,83.6,-733,248,-3410,-1060,-362,-58.7,-61.5,48.4,-420,-6.53,-1730,-2240,-1390,1330,226,-365,1530,3060,324,344,-333,304
-46.8,-1570,831,-546,595,53.5,-1610,963,9270,1060,-431,-1940,-1740,2570,-2850,-1660,-501,-1120,-158,-4080,-911,-403,34.1,-91.1,-70.7,-333,0,58.0,-2320,-76.8,378,310,-198,887,5210,130,34.9,-257,512
-196.338709677419,-907.281879194631,491.177777777778,-897.614864864865,730.279220779221,233.834782608696,-167.546666666667,1493.11538461538,5192.21656050955,-626.534246575342,98.0431654676259,-1417.24503311258,-2254.77070063694,5619.17307692308,-2269.94193548387,-875.519480519481,-766.789473684211,-1394.04458598726,39.3472222222222,-4438.98089171975,-1070.05732484076,-475.977272727273,-101.440366972477,-118.957446808511,-120.048780487805,-233.697841726619,-106.018518518519,-468.442857142857,922.909090909091,-700.88,81.7183098591549,222.343065693431,-127.904347826087,1247.24203821656,2391.30128205128,73.8777777777778,-466.194029850746,160.198113207547,625.793103448276
