#each line of this file is the electricity trade-off from the first week of the 2020 to last week of 2020, last line is the mean value of all the previous line
AL,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA
-135,693,220,-112,787,-107,2490,1260,709,-1650,-179,-683,-1330,1810,-68.1,-1050,-711,-988,96.1,-1800,-817,-398,-20.0,107,-40.7,-254,-5.81,12.6,2260,-2190,-875,352,375,809,761,482,374,-247,174
-132,538,333,911,689,67.7,1990,945,3090,-837,-402,-232,-1650,205,117,-1580,-984,-1370,134,-3900,-766,-412,-361,-6.54,-33.5,-82.2,-29.5,466,1230,-1690,-551,-110,94.9,469,3200,423,154,-112,186
-182,889,324,589,686,-64.1,1750,732,159,-351,-426,1200,-1500,330,-476,-855,-700,-1180,115,-3440,-735,-418,-360,8.11,-27.2,-82.6,-31.8,693,2350,-1820,-1250,-226,302,282,3210,499,-111,-77.7,194
-226,743,231,-136,653,50.1,1700,613,-3590,-1770,-337,1770,-1450,3200,-74.0,-1150,-679,-1000,244,-3010,-731,-438,-338,1.98,6.45,-59.2,-54.4,2160,3210,-2040,-1420,-498,159,267,3280,490,45.0,4.41,167
-179,57.5,319,1130,578,13.0,1250,660,-450,-659,-275,-372,-1520,2550,-842,-1150,-917,-1020,-1.96,-4810,-758,-424,-445,6.23,-48.6,-43.2,-72.1,2810,4160,-1730,-1190,-413,43.9,176,2990,476,-11.7,-73.2,189
-144,-337,444,669,688,-51.1,1260,909,811,-605,-252,56.6,-1660,1820,-1120,-1390,-1050,-1200,222,-5720,-855,-421,-356,-2.09,-24.1,-43.2,-94.6,2770,3800,-1680,-557,-181,116,216,2820,466,285,159,222
-239,1160,425,-465,692,137,1080,1200,-544,-1960,-265,-398,-2210,2410,-1540,-1390,-600,-1500,172,-2580,-834,-416,-159,48,-24.0,-19.6,-81.3,2320,3590,-2080,-689,228,191,605,2430,835,355,-39.8,219
-232,-16.4,611,-1460,590,145,1750,1800,287,-2210,-89.0,570,-2110,2330,-2340,-1050,-1060,-1850,-56.9,-796,-804,-436,-180,12.8,-65.5,-28.3,-83.7,1720,3530,-1820,46.6,-59.3,419,753,1320,550,28.5,76.7,205
-215,38.4,499,-606,560,141,1870,1810,483,-1520,-25.7,347,-1750,2910,-1840,-1260,-1100,-1060,221,-1930,-919,-426,-279,-1.84,-62.1,-20.0,-93.2,964,3370,-1720,-555,-451,701,876,705,165,-88.1,74.5,198
-196,-206,483,107,664,26.3,1600,1570,3790,-1900,-62.9,17.5,-2290,559,-1880,-1460,-913,-1390,35.0,-2520,-766,-418,-306,3.04,-54.9,-38.4,-98.2,948,3250,-1290,377,-560,778,1210,793,-76.8,-123,109,217
-274,1050,390,-664,679,142,2560,1410,2500,-1310,-173,869,-1850,-2660,-1520,-1580,-824,-1010,238,-1710,-815,-446,-322,4.77,-13.4,-71.5,-76.9,-284,3300,-1760,133,-344,494,1060,1550,288,155,222,641
-294,48.2,259,-122,540,44.4,1820,1570,3580,-413,-315,760,-2050,-3060,-764,-687,-637,-1000,287,-3580,-756,-453,-317,6.99,-30.8,-108,-71.5,37.8,2990,-1540,-5.19,-452,374,977,2340,402,-14.9,118,524
-381,-1020,379,415,636,61.7,1140,1400,2460,-1890,-210,-65.1,-1610,-2410,-1090,-68.6,-668,-951,57.1,-3410,-817,-461,-185,4.85,-18.1,-135,-50.3,1920,3180,-1280,739,-355,470,1130,2190,210,-187,262,610
-361,-608,261,-107,219,-34.5,489,1410,-1410,-1280,-328,1970,-1600,2250,-1210,-430,-575,-1000,59.6,-2920,-841,-444,-441,554,45.4,-114,-142,1020,4190,-1230,-213,-132,269,906,1400,356,-365,201,724
-189,614,165,-1180,63.5,-32.7,1650,976,1560,-817,-260,1040,-1830,1940,-2370,-661,-290,-1210,-19.6,-4200,-836,-458,-346,-3.93,152,-170,-77.6,422,3720,-1190,189,-169,584,873,1190,721,-363,203,622
-150,-231,203,-799,-120,80.7,1270,856,4420,-1560,-398,-573,-1860,3780,-2380,-1120,-147,-1130,-17.7,-5190,-1110,-436,-515,-13.1,45.8,-364,-55.7,-54.2,4570,-1530,65.7,-495,780,810,2210,752,-369,252,532
-39.6,313,448,-804,124,97.7,965,1240,3320,-1330,-291,-75.8,-2170,560,-2470,-710,-36.8,-1380,-52.3,-4640,-987,-498,-387,-12.7,302,-295,-60.6,1120,3380,-1680,963,-703,420,773,2920,758,30.1,294,582
-32.1,-880,305,-53.3,5.15,46.9,-507,1380,5360,-639,-390,310,-2050,5000,-2640,-795,-339,-1110,188,-6390,-922,-437,-293,-20.5,254,-208,-71.6,-238,3280,-1740,76.5,-831,-28.3,739,2140,641,44.1,332,520
-50.6,-122,530,66.2,509,158,-319,1270,4700,-1010,-345,-1620,-1270,6510,-2750,-1170,-322,-1210,247,-6260,-889,-433,-305,-7.43,23.0,-342,-78.0,-681,2570,-1770,41.6,-593,110,523,2850,668,29.3,210,523
-299,-282,633,-333,331,104,-9.51,2280,3510,-851,-440,-607,-1060,6370,-3480,-676,-349,-1270,-6.66,-6420,-1080,-437,-258,-10.1,82.6,-266,-150,-808,1450,-1630,1140,-629,78.5,301,3850,522,114,172,420
-343,-1200,584,315,271,381,-187,1490,2870,-1520,-314,-2480,-1340,10500,-2980,-612,-606,-1540,232,-5970,-1010,-461,-216,-14.3,92.2,-370,-109,31.4,2420,-1660,728,-815,2.92,427,2270,284,-60.8,352,599
-437,-1200,615,129,292,482,-948,1340,7070,-384,-467,-1770,-1490,5590,-2490,-302,-376,-1800,242,-5760,-991,-467,-267,-12.1,98.8,-452,-97.8,219,321,-978,687,-573,-55.6,30.0,3630,10.0,-156,261,460
-543,-1490,501,-36.2,363,433,68.0,1620,5670,-1190,-471,-1230,-1530,4200,-2520,-181,-638,-2070,-25.8,-5860,-1040,-512,-123,-12.3,85.1,-497,-105,1020,3640,-876,1480,-651,-389,535,1650,191,-316,355,506
-547,-1460,813,286,186,493,-822,1090,5440,-693,-344,773,-1410,781,-2080,-536,737,-1870,30.3,-5020,-946,-509,-45.3,-14.7,109,-493,-101,1000,3850,-717,929,68.3,-488,764,728,213,-240,316,478
-500,-831,776,-436,204,536,-983,1440,3370,-595,-479,2680,-2430,-1140,-1680,-262,194,-2040,74.1,-2520,-924,-522,-105,-14.1,193,-416,-103,859,5130,-1120,-407,-301,-451,841,836,498,-165,302,479
-484,-1750,593,716,232,398,-1390,1440,5380,-653,-514,-1100,-2580,6110,-1840,-240,-91.4,-1940,190,-6080,-1060,-461,-202,-9.43,-86.4,-331,-86.6,288,3820,-1500,384,-629,-502,1050,2400,105,-363,316,464
-564,-1870,210,1040,139,351,-1800,1480,4910,-442,-595,58.8,-1440,7620,-2380,-445,-7.31,-1070,30.7,-4600,-1070,-362,-318,4.35,-187,-390,-71.7,-1940,1560,-807,-799,-420,-703,327,3770,325,99.5,246,112
7.01,-1520,765,-386,341,380,-1770,1720,3590,-1070,-521,2520,-1800,1430,-3230,-195,324,-1100,284,-4410,-1050,-416,-374,-24.5,274,-526,-94.7,-1480,3680,-820,-620,838,244,376,4200,-50.6,438,225,30.5
-273.531914893617,-421.063829787234,523.156862745098,30.7727272727273,415.531914893617,153.846153846154,527.604166666667,1136.13725490196,2184.92307692308,-859.857142857143,-437.408163265306,-412.212765957447,-1677.32692307692,4981.44230769231,-2262.1,-1003.80392156863,-584.285714285714,-1336.98076923077,182.620689655172,-3818.72549019608,-921.384615384615,-431.692307692308,-247.947368421053,-25.6666666666667,-130.56,-307.738095238095,-47.3333333333333,343.045454545455,2506.9387755102,-1470.44230769231,-220.441860465116,-346.31914893617,111.416666666667,627.274509803922,2773.71153846154,269.333333333333,-41.5142857142857,95.4705882352941,356.54
